run_id,electricity_demand_multiplier_tx,natural_gas_price_west_south_central,battery_capcost,battery_capcost_energy,coal_igcc_capcost,coal_igcc_fom,coal_igcc_vom,coal_new_capcost,coal_new_fom,coal_new_vom,coal_ccs_capcost,coal_ccs_fom,coal_ccs_vom,coal_ccs_heatrate,csp_capcost,csp_fom,csp_vom,gas_cc_capcost,gas_cc_fom,gas_cc_vom,gas_cc_heatrate,gas_ccs_capcost,gas_ccs_fom,gas_ccs_vom,gas_ccs_heatrate,nuclear_capcost,nuclear_fom,nuclear_vom,cf_mult_shared_offshore_wind_fixed_and_floating,offshore_wind_fixed_overnight_cap_cost,offshore_wind_fixed_fixed_oandm,offshore_wind_floating_overnight_cap_cost,offshore_wind_floating_fixed_oandm,onshore_wind_cf_mult,onshore_wind_overnight_cap_cost_kw,onshore_wind_fixed_oandm_kw_yr,upv_capcost,upv_fom,upv_cf_improvement,trajectory,step,changed_factor
11,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,1.07518,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.8218,1.0062,1.1332,0.939,0,11,gas_ccs_capcost
12,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,1.07518,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.0062,1.1332,0.939,0,12,onshore_wind_fixed_oandm_kw_yr
13,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,0.9945200000000001,0.99088,0.9937,0.9731,1.07518,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,13,upv_capcost
14,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,0.98772,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,14,gas_cc_capcost
15,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,0.8858,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,15,coal_ccs_heatrate
16,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,0.9853,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,16,gas_ccs_vom
17,0.9579,1.11522,0.6590199999999999,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,17,coal_new_vom
18,0.9579,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,0.9212,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,18,battery_capcost
19,0.9579,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,19,offshore_wind_fixed_fixed_oandm
20,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,0.9738,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,20,electricity_demand_multiplier_tx
21,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.03488,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,21,coal_new_capcost
22,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,0.95478,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,22,nuclear_capcost
23,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,0.9731,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,23,offshore_wind_floating_fixed_oandm
24,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,0.9724,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,24,gas_cc_heatrate
25,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.09826,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,25,coal_igcc_vom
26,1.00854,1.11522,0.97888,0.8124,0.99442,0.9724,1.00588,1.0058399999999998,0.9863,1.00336,1.01962,1.028,0.9572799999999999,1.059,0.94588,1.13548,1.286,1.0277,0.99088,0.9937,1.00544,1.07518,1.0285,1.02296,0.955,1.4511,1.1657,1.0000200000000001,1.0348,0.9998,1.0466000000000002,1.3229600000000001,1.0768199999999999,0.9972199999999999,1.1495,0.97384,1.1781,1.1332,0.939,0,26,csp_vom
