r,t,Value
p60,2010,8025622.90518
p60,2015,10768289.01558
p60,2020,22427342.108684
p60,2023,32567770.962368
p60,2026,32310134.420329
p60,2029,28825736.424064
p60,2032,27266130.491549
p60,2035,30860404.655626
p60,2038,34303413.127068
p60,2041,29643128.931106
p60,2044,29268882.047157
p60,2047,26372353.188026
p60,2050,15501191.940427
p61,2010,7004414.39493
p61,2015,7613153.720394
p61,2020,14006259.163341
p61,2023,25622985.515607
p61,2026,27117582.672911
p61,2029,26757869.823841
p61,2032,27048157.660009
p61,2035,25351450.481658
p61,2038,23643570.087445
p61,2041,20938438.670508
p61,2044,20642400.993774
p61,2047,19692649.192936
p61,2050,13854924.993098
p62,2010,2839065.2445
p62,2015,3576512.8365
p62,2020,10377534.38874
p62,2023,17262528.152921
p62,2026,17060070.118743
p62,2029,16859748.292489
p62,2032,15853531.966495
p62,2035,15699555.939384
p62,2038,17047239.824034
p62,2041,15882251.244891
p62,2044,15658677.266641
p62,2047,14757503.932566
p62,2050,8603241.395548
p63,2010,1153938.5796
p63,2015,3720284.79318
p63,2020,7608128.300311
p63,2023,20729222.117422
p63,2026,53745199.341875
p63,2029,49853234.789123
p63,2032,48383081.829747
p63,2035,43259681.026323
p63,2038,49636738.8553
p63,2041,47961628.409772
p63,2044,47089706.590376
p63,2047,43893300.704226
p63,2050,39579506.915935
p64,2015,76119.8256
p64,2020,126153.972504
p64,2023,481434.301771
p64,2026,471417.961059
p64,2029,449266.946872
p64,2032,1065831.972075
p64,2035,442495.365437
p64,2038,4923769.359508
p64,2041,4821811.977307
p64,2044,4720288.624323
p64,2047,4562831.761041
p64,2050,4424855.717741
p65,2010,2797299.72927
p65,2015,7697432.148264
p65,2020,16598502.947452
p65,2023,27817932.023084
p65,2026,41626525.672971
p65,2029,35467634.529421
p65,2032,39279401.193423
p65,2035,33159570.669502
p65,2038,41376632.406441
p65,2041,38134853.460159
p65,2044,37587393.209707
p65,2047,32602022.771684
p65,2050,23826615.91143
p67,2020,279686.6358
p67,2023,2562103.153498
p67,2026,2508455.332104
p67,2029,2385309.216713
p67,2032,2242943.861233
p67,2035,2354656.424369
p67,2038,6111675.807596
p67,2041,5984480.14411
p67,2044,5859572.77056
p67,2047,5738806.649391
p67,2050,5391774.03986
