r,t,Value
p60,2015,0.0
p60,2020,0.0
p60,2023,-0.0
p60,2026,0.0
p60,2029,3068354.355956
p60,2032,2371791.544213
p60,2035,1350216.240918
p60,2038,608832.718683
p60,2041,22703196.876432
p60,2044,23190094.963265
p60,2047,24337100.844801
p60,2050,26204988.375171
p61,2015,-0.0
p61,2020,-0.0
p61,2023,-0.0
p61,2026,0.0
p61,2029,1484868.511774
p61,2032,679931.376603
p61,2035,362590.475947
p61,2041,3472651.474183
p61,2044,173179.689483
p61,2047,67167.473926
p61,2050,363604.972882
p62,2015,0.0
p62,2020,0.0
p62,2023,-0.0
p62,2026,-0.0
p62,2029,1818248.800619
p62,2032,2376385.90513
p62,2035,3580381.489645
p62,2038,3424357.522164
p62,2041,8135335.970692
p62,2044,8239026.006143
p62,2047,8573230.222181
p62,2050,4826564.361394
p63,2015,0.0
p63,2020,-0.0
p63,2023,-0.0
p63,2026,-0.0
p63,2029,0.0
p63,2032,-0.0
p63,2035,-0.0
p63,2038,0.0
p63,2041,4499498.024419
p63,2044,4791421.927893
p63,2047,3185916.914639
p63,2050,6063178.116668
p64,2020,0.0
p64,2023,0.0
p64,2026,0.0
p64,2029,0.0
p64,2032,-0.0
p64,2038,0.0
p64,2047,0.0
p64,2050,0.0
p65,2010,-0.0
p65,2015,0.0
p65,2020,0.0
p65,2023,-0.0
p65,2026,-0.0
p65,2029,-0.0
p65,2032,0.0
p65,2035,0.0
p65,2038,-0.0
p65,2041,165050.162429
p65,2044,65077.575898
p65,2047,102158.933655
p65,2050,1663030.330622
p67,2029,0.0
p67,2032,0.0
p67,2035,-0.0
p67,2038,0.0
p67,2041,0.0
p67,2044,-0.0
p67,2047,-0.0
p67,2050,0.0
